comp_ENG_prac,prime_exp_ENG_prac,ans_ENG_prac,comp_POL_prac,prime_exp_POL_prac,ans_POL_prac
underground,sky,left,warta,murek,left
wallpaper,floor,left,noga,stopa,left
driveway,road,left,auto,marka,left
skateboard,ski,left,igła,nitka,left
cupcake,bowl,left,talerz,obrus,left
elentricity,power,right,stołek,pubros,right
camputer,laptop,right,konik,remuk,right
barbage,bag,right,szachy,ponak,right
instiration,wall,right,hamak,bumak,right
explaration,question,right,karka,jatek,right
